"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004867","serine-type endopeptidase inhibitor activity","31/1251","102/18662",0.303921568627451,4.53380041065187,9.59262286207595,3.82200496180202e-13,3.52666821475368e-11,2.71380639393024e-11,"WFDC2/ITIH5/SERPINF1/SERPINH1/SERPINE2/COL6A3/TFPI/SPINK4/SERPING1/TFPI2/SERPINB5/SERPINA6/SERPINA1/SERPINE1/AGT/SLCO1B3/SERPINA5/SERPINF2/SERPINA3/SERPINA4/SERPINA7/SERPINA10/SERPINA11/ITIH4/SERPIND1/ITIH3/HRG/SERPINC1/AMBP/ITIH2/ITIH1",31
"GO:0030414","peptidase inhibitor activity","42/1251","178/18662",0.235955056179775,3.51989868779134,9.05481027791714,4.30134726065333e-13,3.63822289130261e-11,2.79964883105682e-11,"WFDC2/ITIH5/SERPINF1/SERPINH1/SERPINE2/COL6A3/TFPI/BIRC5/SPINK4/SERPING1/TFPI2/SERPINB5/TIMP1/C4B/C4A/FETUB/SERPINA6/C3/SERPINA1/SERPINE1/AGT/SLCO1B3/C5/SERPINA5/KNG1/CST1/SERPINF2/SERPINA3/SERPINA4/SERPINA7/SERPINA10/SERPINA11/SPP2/ITIH4/SERPIND1/ITIH3/HRG/SERPINC1/AMBP/AHSG/ITIH2/ITIH1",42
"GO:0061134","peptidase regulator activity","49/1251","237/18662",0.206751054852321,3.08424315400001,8.65571726434117,1.03156641714413e-12,8.05415318000995e-11,6.19775126737608e-11,"WFDC2/ATP2A3/FBLN1/ITIH5/PINK1/SERPINF1/CTSH/SERPINH1/SERPINE2/COL6A3/TFPI/BIRC5/HSPD1/SPINK4/SERPING1/TFPI2/FN1/SERPINB5/PRSS22/TIMP1/C4B/C4A/FETUB/SERPINA6/C3/SERPINA1/SERPINE1/AGT/SLCO1B3/C5/SERPINA5/KNG1/CST1/SERPINF2/SERPINA3/SERPINA4/SERPINA7/SERPINA10/SERPINA11/SPP2/ITIH4/SERPIND1/ITIH3/HRG/SERPINC1/AMBP/AHSG/ITIH2/ITIH1",49
"GO:0061135","endopeptidase regulator activity","43/1251","199/18662",0.21608040201005,3.22341523765912,8.45240376029502,5.42397354227802e-12,3.93238081815157e-10,3.02600629200774e-10,"WFDC2/ITIH5/SERPINF1/SERPINH1/SERPINE2/COL6A3/TFPI/BIRC5/HSPD1/SPINK4/SERPING1/TFPI2/SERPINB5/TIMP1/C4B/C4A/FETUB/SERPINA6/C3/SERPINA1/SERPINE1/AGT/SLCO1B3/C5/SERPINA5/KNG1/CST1/SERPINF2/SERPINA3/SERPINA4/SERPINA7/SERPINA10/SERPINA11/SPP2/ITIH4/SERPIND1/ITIH3/HRG/SERPINC1/AMBP/AHSG/ITIH2/ITIH1",43
"GO:0008514","organic anion transmembrane transporter activity","51/1251","270/18662",0.188888888888889,2.81778133049116,8.06479430706071,1.28975489815889e-11,8.72734147754183e-10,6.71577638199226e-10,"BEST4/SLC26A3/SLC26A2/SLC4A4/ABCG2/FABP2/BEST2/FABP4/SLC36A1/CEACAM1/SLC16A9/SLC25A23/SLCO2A1/SLC6A9/SLC44A4/ABCB1/SLC1A1/SLC25A32/MFSD12/SLC19A2/SLC43A3/SLC7A1/SLC2A3/SLC43A1/SLC25A15/SLC39A10/SLC38A5/SLC16A2/SLC17A9/SLC5A6/SLC7A2/SLC38A4/SLC2A1/SLC6A6/SLC7A5/SLC22A3/SLCO4A1/SLC6A20/SLC35D3/SLC25A18/SLCO1B3/SLC27A5/SLC38A3/SLC22A7/SLC13A5/AKR1C4/SLC10A1/SLCO1B1/SLC22A1/SLC2A2/SLC25A47",51
"GO:0004175","endopeptidase activity","66/1251","406/18662",0.16256157635468,2.42503927892169,7.78164280662182,1.57260122898357e-11,9.9761890463645e-10,7.67677705201189e-10,"CLCA4/ADAMDEC1/CFD/MMP28/MEP1A/SFRP1/CAPN13/TPSB2/CASP5/CTSG/TPSAB1/RHBDL2/CAPN9/CASP7/CAPN5/SPPL2A/TINAG/KLK1/TMPRSS2/CAPN2/GZMA/CTSH/ECE2/MMP14/CPNE1/HTRA3/C1S/C1R/GZMB/PLAU/SHH/MMP12/MMP9/F10/C2/PCSK9/MASP1/PRSS22/ADAMTS2/ADAMTS4/MMP11/TMPRSS13/KLK7/CFB/CFI/F12/PROC/FAP/MMP1/F11/MMP3/KLKB1/KLK10/F7/HGFAC/KLK6/MASP2/HABP2/HPN/F9/MMP7/CPS1/HP/PLG/HPR/F2",66
"GO:0004857","enzyme inhibitor activity","69/1251","451/18662",0.152993348115299,2.28230364710449,7.3891844013162,8.9448597176612e-11,5.34060741966242e-09,4.1096507185787e-09,"PKIB/UGT1A8/CDKN2B/UGT1A10/PTN/WFDC2/ITIH5/PPP1R14D/LGALS3/CAMK2N1/RGS2/CHP1/SERPINF1/IPO5/SERPINH1/SERPINE2/COL6A3/TFPI/BIRC5/ANXA3/DDX21/SPINK4/ANGPTL4/IGFBP2/SERPING1/UGT1A6/TFPI2/SERPINB5/TIMP1/C4B/TRIB3/C4A/FETUB/TESC/UGT1A1/SERPINA6/PPP1R1A/C3/SERPINA1/SERPINE1/GCKR/AGT/SLCO1B3/C5/APOC1/SERPINA5/KNG1/CST1/SERPINF2/SERPINA3/UGT1A4/SERPINA4/SERPINA7/SERPINA10/ANGPTL3/SERPINA11/SPP2/ITIH4/APOC2/SERPIND1/ITIH3/HRG/APOC3/APOA2/SERPINC1/AMBP/AHSG/ITIH2/ITIH1",69
"GO:0030246","carbohydrate binding","49/1251","282/18662",0.173758865248227,2.59207669325532,7.22104479040805,6.68965868981374e-10,3.57797164453184e-08,2.75328489524773e-08,"CLEC3B/LGALS9C/ITLN1/LGALS2/ZG16/PTN/LGALS9B/LGALS4/SI/KLRB1/FAM3D/CD209/GALNT12/LGALS3/UGP2/EGLN3/CLEC10A/HKDC1/GALK1/GALNT6/FCN1/SLC2A3/VCAN/FBP1/LOXL2/FBXO2/SORD/REG1A/KHK/REG4/C4B/REG3A/PKLR/REG1B/CLEC4G/CHI3L1/COLEC11/OLR1/COLEC10/ALDOB/MBL2/FCN2/FCN3/ASGR1/ASGR2/VTN/AMBP/APCS/ITIH1",49
"GO:0005125","cytokine activity","44/1251","238/18662",0.184873949579832,2.75788780740114,7.3159701272574,6.6976809109463e-10,3.57797164453184e-08,2.75328489524773e-08,"BMP3/GREM2/SECTM1/SCG2/CCL28/CXCL14/BMP2/FAM3D/CXCL13/CCL5/CCL8/CCL15/KITLG/CCL4/CCL24/CCL3/CCL4L1/TNFRSF11B/VEGFA/CXCL9/WNT11/CCL18/CXCL10/CXCL3/CXCL1/IL1B/AREG/GDF15/BMP7/TIMP1/IL1RN/TNFSF9/CXCL2/CXCL5/IL6/CXCL11/CCL16/C3/CXCL6/INHBA/INHBE/SPP1/INHBC/C5",44
"GO:0001848","complement binding","13/1251","25/18662",0.52,7.7571862509992,9.06216874789541,1.2634000526829e-09,6.41175526736571e-08,4.93390967942479e-08,"CFH/C4B/C4A/CFHR4/CFB/CFHR5/MASP2/CFHR3/CRP/C8A/CFHR2/CFHR1/APCS",13
"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","30/1251","132/18662",0.227272727272727,3.39037860620594,7.38754607800605,2.46070893528983e-09,1.18934265205675e-07,9.15211042599024e-08,"HSD3B2/AKR1B10/DHRS11/HPGD/DHRS9/HSD11B2/HSD17B2/LDHD/GPD1L/UGDH/IMPDH1/FASN/GPD1/CYP4F2/PHGDH/ADH1B/SORD/CYP4F3/AKR1C1/HSD17B6/AKR1D1/CYP4A22/HSD11B1/HAO2/AKR1C4/ADH1A/HSD17B13/HAO1/RDH16/ADH4",30
"GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","17/1251","46/18662",0.369565217391304,5.51305042922184,8.21467092664011,2.72173061846035e-09,1.25570753533512e-07,9.66279482726114e-08,"CYP4F12/CYP39A1/CYP4F2/CYP1B1/CYP4F3/CYP2W1/CYP2B6/CYP2D6/CYP3A4/CYP1A2/CYP4A22/CYP2C9/CYP8B1/CYP2A6/CYP4A11/CYP2C8/CYP2E1",17
"GO:0042379","chemokine receptor binding","22/1251","77/18662",0.285714285714286,4.26219024780176,7.6887832560417,3.6193842448399e-09,1.59725000370109e-07,1.22909982135982e-07,"CCL28/CXCL14/CXCL13/CCL5/CCL8/CCL15/CCL4/CCL24/CCL3/CCL4L1/CXCL9/CCL18/CXCL10/CXCL3/CXCL1/CXCL2/CXCL5/CXCL11/CCL16/C3/CXCL6/C5",22
"GO:0019838","growth factor binding","30/1251","136/18662",0.220588235294118,3.29066158837636,7.18660559440294,5.20189790412135e-09,2.19996932195132e-07,1.69289835300791e-07,"IL1R2/CNTFR/CHRDL1/ACVRL1/IGFBP6/LTBP4/FGFBP1/CXCL13/FGFR2/PXDN/PDGFB/FGFR4/PDGFRB/RHBDF2/IGFBP7/NRP2/LTBP2/FGFRL1/COL5A1/SRPX2/COL3A1/COL1A2/IGFBP2/COL4A1/LRG1/IGFALS/IL1RN/COL1A1/NKD2/IGFBP1",30
"GO:0046943","carboxylic acid transmembrane transporter activity","36/1251","189/18662",0.19047619047619,2.84146016520117,6.82038309130752,1.04864645351384e-08,4.25750460126617e-07,3.27619228845165e-07,"SLC26A3/SLC26A2/ABCG2/FABP2/FABP4/SLC36A1/CEACAM1/SLC16A9/SLC6A9/ABCB1/SLC1A1/SLC25A32/MFSD12/SLC19A2/SLC43A3/SLC7A1/SLC43A1/SLC25A15/SLC38A5/SLC16A2/SLC5A6/SLC7A2/SLC38A4/SLC2A1/SLC6A6/SLC7A5/SLC6A20/SLC25A18/SLCO1B3/SLC27A5/SLC38A3/SLC22A7/SLC13A5/AKR1C4/SLC10A1/SLCO1B1",36
"GO:0005342","organic acid transmembrane transporter activity","36/1251","190/18662",0.189473684210526,2.82650511170011,6.78304949435215,1.21186277636651e-08,4.73092583850771e-07,3.64049465612935e-07,"SLC26A3/SLC26A2/ABCG2/FABP2/FABP4/SLC36A1/CEACAM1/SLC16A9/SLC6A9/ABCB1/SLC1A1/SLC25A32/MFSD12/SLC19A2/SLC43A3/SLC7A1/SLC43A1/SLC25A15/SLC38A5/SLC16A2/SLC5A6/SLC7A2/SLC38A4/SLC2A1/SLC6A6/SLC7A5/SLC6A20/SLC25A18/SLCO1B3/SLC27A5/SLC38A3/SLC22A7/SLC13A5/AKR1C4/SLC10A1/SLCO1B1",36
"GO:0019842","vitamin binding","31/1251","150/18662",0.206666666666667,3.08298427924327,6.86576926983471,1.50492074218493e-08,5.65738723451001e-07,4.35341594815289e-07,"GPT/TCN2/VDR/EGLN3/PC/TTPA/SHMT2/FASN/ABAT/SDS/CRABP2/RBP1/GLDC/CBS/GPT2/KYNU/CYP2W1/PSAT1/C8G/OGDHL/GNMT/SEC14L2/AGXT2/TAT/FTCD/AFM/RBP4/AGXT/ALB/ADH4/GC",31
"GO:0033293","monocarboxylic acid binding","21/1251","79/18662",0.265822784810127,3.96545548371429,7.07996799846525,3.32913406992129e-08,1.20681110034647e-06,9.28653187925412e-07,"UGT1A8/FABP2/GSTM2/FABP4/FABP1/VDR/PC/CRABP2/RBP1/GSTA1/S100A9/S100A8/PRR7/CYP2W1/AKR1C1/UGT1A1/FABP6/APOC1/SERPINA5/AKR1C4/ALB",21
"GO:0004497","monooxygenase activity","25/1251","109/18662",0.229357798165138,3.42148299708857,6.79628924935641,4.27491292720381e-08,1.49621952452133e-06,1.15135585915979e-06,"CYP4F12/CYP27A1/CYP39A1/CYP4F2/SQLE/CYP1B1/CYP4F3/CYP2W1/AKR1C1/AGMO/CYP2B6/CYP2D6/CYP3A4/CYP1A2/AKR1D1/CYP4A22/CYP2C9/CYP8B1/CYP2A6/AKR1C4/PAH/FMO3/CYP4A11/CYP2C8/CYP2E1",25
"GO:0005496","steroid binding","25/1251","111/18662",0.225225225225225,3.35983465479868,6.68411102101129,6.27094830402268e-08,2.12167084286101e-06,1.63264689178415e-06,"UGT1A8/NR3C2/HSD11B2/PAQR5/PAQR8/SIDT1/PROM2/VDR/OSBPL7/OSBPL1A/GRAMD1A/INSIG1/TMEM97/SULT2B1/UGT1A1/SERPINA6/CYP3A4/AKR1D1/SHBG/HSD11B1/APOF/APOC3/APOA1/APOA2/GC",25
"GO:0015101","organic cation transmembrane transporter activity","21/1251","82/18662",0.25609756097561,3.82037784406621,6.86081358428027,6.7486590443865e-08,2.20964159033945e-06,1.70034126007972e-06,"AQP8/SLC36A1/SLC22A5/SLC16A9/SLC6A9/SLC44A4/SLC1A1/MFSD12/SLC19A2/SLC7A1/SLC43A1/SLC25A15/SLC38A5/SLC7A2/SLC38A4/SLC6A6/SLC7A5/SLC22A3/SLC6A20/SLC38A3/SLC22A1",21
"GO:0005506","iron ion binding","30/1251","154/18662",0.194805194805195,2.90603880531938,6.36643935977502,1.03369886589842e-07,3.27876359027155e-06,2.52304131084417e-06,"ETHE1/CYP4F12/XDH/HBA1/HBA2/EGLN3/CYP27A1/RRM2/CYP39A1/CYP4F2/CYP1B1/SCD/CYP4F3/CYP2W1/AGMO/CYP2B6/CYP2D6/CYP3A4/CYP1A2/CDO1/CYP4A22/AOX1/CYP2C9/CYP8B1/CYP2A6/PAH/TF/CYP4A11/CYP2C8/CYP2E1",30
"GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","26/1251","122/18662",0.213114754098361,3.17917469303246,6.47293656169705,1.12638152300688e-07,3.46447650258176e-06,2.66594925062553e-06,"HSD3B2/AKR1B10/DHRS11/HPGD/DHRS9/HSD11B2/HSD17B2/LDHD/GPD1L/UGDH/IMPDH1/FASN/GPD1/PHGDH/ADH1B/SORD/AKR1C1/HSD17B6/AKR1D1/CYP4A22/HSD11B1/AKR1C4/ADH1A/HSD17B13/RDH16/ADH4",26
"GO:0050840","extracellular matrix binding","18/1251","66/18662",0.272727272727273,4.06845432744713,6.69369802404744,2.06766487038238e-07,6.07694213589373e-06,4.67626763270225e-06,"SPARCL1/TNXB/ACHE/LGALS3/PXDN/LTBP2/ITGA2/OLFML2B/VEGFA/ADAMTSL2/SPARC/SHH/TGFBI/BGN/COL11A1/SPP1/VTN/AMBP",18
"GO:0020037","heme binding","28/1251","142/18662",0.197183098591549,2.94151157946882,6.22512275214302,2.09549728823922e-07,6.07694213589373e-06,4.67626763270225e-06,"MB/CYP4F12/HBA1/HBA2/HBB/PXDN/CYP27A1/PTGS2/CYP39A1/CYP4F2/CYP1B1/CBS/CYP4F3/CYP2W1/CYP2B6/CYP2D6/TDO2/CYP3A4/CYP1A2/CYP4A22/CYP2C9/CYP8B1/CYP2A6/CYP4A11/CYP2C8/HRG/CYP2E1/AMBP",28
"GO:0046906","tetrapyrrole binding","29/1251","152/18662",0.190789473684211,2.84613361942025,6.1258445132178,2.67228680473352e-07,7.53436418556811e-06,5.79776844769669e-06,"MB/TCN2/CYP4F12/HBA1/HBA2/HBB/PXDN/CYP27A1/PTGS2/CYP39A1/CYP4F2/CYP1B1/CBS/CYP4F3/CYP2W1/CYP2B6/CYP2D6/TDO2/CYP3A4/CYP1A2/CYP4A22/CYP2C9/CYP8B1/CYP2A6/CYP4A11/CYP2C8/HRG/CYP2E1/AMBP",29
"GO:0030020","extracellular matrix structural constituent conferring tensile strength","14/1251","42/18662",0.333333333333333,4.97255528910205,6.90858349540472,3.07198562354418e-07,8.41771088334548e-06,6.47751254907166e-06,"COL12A1/COL6A3/COL4A2/COL5A1/COL3A1/COL5A2/COL1A2/COL18A1/COL9A3/COL4A1/COL8A1/COL1A1/COL11A1/COL10A1",14
"GO:0001846","opsonin binding","10/1251","21/18662",0.476190476190476,7.10365041300293,7.50151443104404,3.15145826174511e-07,8.41771088334548e-06,6.47751254907166e-06,"CFH/C4A/CFHR4/CFHR5/MASP2/CFHR3/CRP/CFHR2/CFHR1/APCS",10
"GO:0008391","arachidonate monooxygenase activity","9/1251","17/18662",0.529411764705882,7.89758781210326,7.62649093677509,3.94963067463699e-07,1.02791670121963e-05,7.90992162100039e-06,"CYP4F12/CYP4F2/CYP2B6/CYP4A22/CYP2C9/CYP2A6/CYP4A11/CYP2C8/CYP2E1",9
"GO:0001664","G protein-coupled receptor binding","44/1251","300/18662",0.146666666666667,2.1879243272049,5.55998558462548,7.70485800809975e-07,1.95510771955531e-05,1.50447490579211e-05,"GCG/INSL5/PYY/EDN3/SFRP1/CCL28/P2RY1/VIP/CXCL14/ADRA2A/GNA11/CXCL13/CCL5/HBA1/BDKRB2/HBA2/CCL8/CCL15/CCL4/CCL24/CCL3/CCL4L1/FCN1/ZNRF3/RNF43/CXCL9/WNT11/CCL18/CXCL10/CXCL3/CXCL1/FPR1/CXCL2/CXCL5/CXCL11/CCL16/C3/MARCO/CXCL6/NPW/CTHRC1/AGT/C5/SAA1",44
"GO:0005178","integrin binding","28/1251","152/18662",0.184210526315789,2.74799108081955,5.80018773232393,8.9866442088857e-07,2.22474240780951e-05,1.71196148985705e-05,"CD177/PTN/EDIL3/TNXB/LTBP4/ITGB7/FBLN1/S1PR3/ACTN1/MMP14/FERMT1/ICAM1/ITGA2/THY1/COL5A1/COL3A1/IL1B/FN1/TNC/TGFBI/ITGBL1/ESM1/FAP/IGF2/COMP/SPP1/ANGPTL3/VTN",28
"GO:0005504","fatty acid binding","14/1251","47/18662",0.297872340425532,4.44356004558056,6.33591470994258,1.44638243165846e-06,3.49542420984127e-05,2.68976382027713e-05,"UGT1A8/FABP2/GSTM2/FABP4/FABP1/CRABP2/RBP1/GSTA1/S100A9/S100A8/PRR7/FABP6/APOC1/ALB",14
"GO:0016298","lipase activity","25/1251","130/18662",0.192307692307692,2.86878189755888,5.73130343952907,1.50319826499686e-06,3.54824706737632e-05,2.73041153642025e-05,"GDPD3/PLCE1/PLCD1/PLCD3/ABHD3/PLA2G10/SMPD3/CCL5/BDKRB2/LIPH/MGLL/SMPDL3B/PLA2G4F/PRDX6/PLCB4/LIPG/PLA2G12B/EDNRA/LCAT/GDPD5/CES1/LIPC/CEL/NOTUM/AADAC",25
"GO:0048407","platelet-derived growth factor binding","7/1251","11/18662",0.636363636363636,9.49306009737664,7.55255214149569,1.55419626982878e-06,3.55893761202781e-05,2.738638017241e-05,"PDGFB/PDGFRB/COL5A1/COL3A1/COL1A2/COL4A1/COL1A1",7
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","31/1251","183/18662",0.169398907103825,2.5270362944617,5.56442028436099,1.57785411370691e-06,3.55893761202781e-05,2.738638017241e-05,"CYP4F12/EGLN3/CYP27A1/PTGS2/CYP39A1/FADS2/CYP4F2/FADS1/SQLE/CYP1B1/SCD/CYP4F3/CYP2W1/AKR1C1/AGMO/CYP2B6/CYP2D6/CYP3A4/CTHRC1/CYP1A2/AKR1D1/CYP4A22/CYP2C9/CYP8B1/CYP2A6/AKR1C4/PAH/FMO3/CYP4A11/CYP2C8/CYP2E1",31
"GO:0008392","arachidonate epoxygenase activity","8/1251","15/18662",0.533333333333333,7.95608846256328,7.22421219727843,1.67751927125755e-06,3.70148273984004e-05,2.84832791595676e-05,"CYP4F12/CYP4F2/CYP2B6/CYP2C9/CYP2A6/CYP4A11/CYP2C8/CYP2E1",8
"GO:0052689","carboxylic ester hydrolase activity","27/1251","149/18662",0.181208053691275,2.70320119743132,5.59506248349617,1.94848016787074e-06,4.20788802210382e-05,3.23801183552091e-05,"CA1/CA2/CES3/GDPD3/ABHD3/PLA2G10/SIAE/ACHE/LIPH/MGLL/CES2/PLA2G4F/PRDX6/ACOT11/PAFAH1B3/LIPG/PLA2G12B/LCAT/CES1/LIPC/PON3/CEL/RGN/NOTUM/BAAT/PON1/AADAC",27
"GO:0016229","steroid dehydrogenase activity","12/1251","36/18662",0.333333333333333,4.97255528910205,6.39507518816266,2.16203608778363e-06,4.57180547729247e-05,3.51804994985845e-05,"HSD3B2/DHRS11/DHRS9/HSD11B2/HSD17B2/AKR1C1/HSD17B6/AKR1D1/HSD11B1/AKR1C4/HSD17B13/RDH16",12
"GO:0031406","carboxylic acid binding","31/1251","186/18662",0.166666666666667,2.48627764455103,5.4605538505972,2.25016247709234e-06,4.66105084540557e-05,3.58672515145546e-05,"UGT1A8/FABP2/GSTM2/FABP4/FABP1/VDR/EGLN3/CAD/PC/EPDR1/FCN1/CRABP2/TNFRSF11B/RBP1/GSTA1/S100A9/GLDC/S100A8/PRR7/CYP2W1/AKR1C1/UGT1A1/GNMT/FABP6/APOC1/SERPINA5/AKR1C4/FTCD/CPS1/ALB/AMBP",31
